Country latitude	longitude	distance_from_france	is_from_france	alim_ssssgrp_nom_fr	alim_ssgrp_nom_fr	alim_grp_nom_fr	Nb_scans	Nb_unique_scans
Afghanistan	33.7680065	66.2385139	5496.416570274886	0	boissons végétales	boissons sans alcool	eaux et autres boissons	3	1.0
Albania	41.000028	19.9999619	1578.5233954260298	0	fruits et leurs produits de la Réunion	fruits	fruits, légumes, légumineuses et oléagineux	0	0.0
Algeria	28.000027199999998	2.9999825	2073.199488550324	0	Autre biscuits sucrés	biscuits sucrés	produits sucrés	8	6.0
Algeria	28.000027199999998	2.9999825	2073.199488550324	0	biscottes et pains grillés	pains et assimilés	produits céréaliers	9	6.0
Algeria	28.000027199999998	2.9999825	2073.199488550324	0	boissons rafraîchissantes sans alcool	boissons sans alcool	eaux et autres boissons	12	10.0
Algeria	28.000027199999998	2.9999825	2073.199488550324	0	boissons végétales	boissons sans alcool	eaux et autres boissons	116	84.0
Algeria	28.000027199999998	2.9999825	2073.199488550324	0	fruits crus	fruits	fruits, légumes, légumineuses et oléagineux	5	3.0
Algeria	28.000027199999998	2.9999825	2073.199488550324	0	fruits et leurs produits de la Martinique	fruits	fruits, légumes, légumineuses et oléagineux	4	3.0
Algeria	28.000027199999998	2.9999825	2073.199488550324	0	fruits séchés	fruits	fruits, légumes, légumineuses et oléagineux	186	128.0
Algeria	28.000027199999998	2.9999825	2073.199488550324	0	légumes et leurs produits de la Réunion	légumes	fruits, légumes, légumineuses et oléagineux	71	45.0
Algeria	28.000027199999998	2.9999825	2073.199488550324	0	légumes séchés ou déshydratés	légumes	fruits, légumes, légumineuses et oléagineux	593	380.0
Algeria	28.000027199999998	2.9999825	2073.199488550324	0	plats de céréales/pâtes	plats composés	entrées et plats composés	7	4.0
Algeria	28.000027199999998	2.9999825	2073.199488550324	0	sauces chaudes	sauces	aides culinaires et ingrédients divers	0	0.0
Antarctica	-72.8438691	0.0	13297.615293736091	0	fruits et leurs produits de la Réunion	fruits	fruits, légumes, légumineuses et oléagineux	1	1.0
Argentina	-34.9964963	-64.9672817	11273.878088201123	0	Autre autres produits à base de viande	autres produits à base de viande	viandes, œufs, poissons et assimilés	4	2.0
